complaint,priority
Complaint: need a new bathroom tap in my room.,Low
Kindly note: bathroom mirror has a small crack on my floor.,Low
Reporting an issue: bathroom mirror has a small crack.,Low
Soap dish is broken in the bathroom in my room.,Low
Reporting an issue: bathroom tile near the drain is slightly loose in my room.,Low
Complaint: bathroom tile near the drain is slightly loose.,Low
Please report: bathroom mirror has a small crack near my room.,Low
Reporting an issue: bathroom mirror has a small crack on my floor.,Low
Reporting an issue: need a new shower curtain on my floor.,Low
Kindly note: need a new shower curtain on my floor.,Low
Kindly note: bathroom mirror has a small crack on my floor.,Low
Please report: water bottle filling tap is slightly loose on my floor.,Low
Please report: need a new shower curtain in my room.,Low
Kindly note: bathroom tile near the drain is slightly loose in the hostel block.,Low
Kindly note: bathroom door hinge makes a small noise.,Low
Please report: bathroom mirror has a small crack on my floor.,Low
Bathroom mirror has a small crack in the hostel block.,Low
Bathroom mirror has a small crack.,Low
Please report: bathroom mirror has a small crack near my room.,Low
Reporting an issue: need an extra mug for the bathroom on my floor.,Low
Complaint: bathroom tile near the drain is slightly loose on my floor.,Low
Kindly note: need an extra mug for the bathroom near my room.,Low
Complaint: water bottle filling tap is slightly loose near my room.,Low
Bathroom door hinge makes a small noise in my room.,Low
Kindly note: bathroom door hinge makes a small noise.,Low
Reporting an issue: water bottle filling tap is slightly loose near my room.,Low
Reporting an issue: bathroom door hinge makes a small noise in my room.,Low
Complaint: tap is squeaking slightly when turned near my room.,Low
Complaint: bathroom door hinge makes a small noise on my floor.,Low
Bathroom door hinge makes a small noise in the hostel block.,Low
Please report: soap dish is broken in the bathroom on my floor.,Low
Please report: need a new bathroom tap in my room.,Low
Please report: water bottle filling tap is slightly loose.,Low
Reporting an issue: bathroom tile near the drain is slightly loose near my room.,Low
Please report: need an extra mug for the bathroom on my floor.,Low
Bathroom tile near the drain is slightly loose in my room.,Low
Please report: bathroom door hinge makes a small noise near my room.,Low
Please report: need a new shower curtain in my room.,Low
Need a new bathroom tap.,Low
Reporting an issue: bathroom mirror has a small crack in the hostel block.,Low
Bathroom tile near the drain is slightly loose near my room.,Low
Kindly note: tap is squeaking slightly when turned in the hostel block.,Low
Complaint: bathroom tile near the drain is slightly loose.,Low
Complaint: need an extra mug for the bathroom on my floor.,Low
Bathroom mirror has a small crack.,Low
Reporting an issue: bathroom door hinge makes a small noise.,Low
Bathroom door hinge makes a small noise in my room.,Low
Complaint: need a new shower curtain on my floor.,Low
Complaint: bathroom door hinge makes a small noise near my room.,Low
Kindly note: bathroom tile near the drain is slightly loose near my room.,Low
Need a spare bucket for the room in my room.,Low
Complaint: tap is squeaking slightly when turned on my floor.,Low
Need a new shower curtain near my room.,Low
Kindly note: need a spare bucket for the room on my floor.,Low
Reporting an issue: tap is squeaking slightly when turned.,Low
Complaint: bathroom tile near the drain is slightly loose.,Low
Kindly note: need a new shower curtain in the hostel block.,Low
Bathroom tile near the drain is slightly loose in my room.,Low
Please report: need a new shower curtain on my floor.,Low
Bathroom tile near the drain is slightly loose.,Low
Please report: soap dish is broken in the bathroom on my floor.,Low
Reporting an issue: need an extra mug for the bathroom near my room.,Low
Soap dish is broken in the bathroom near my room.,Low
Complaint: need a new bathroom tap on my floor.,Low
Complaint: bathroom mirror has a small crack near my room.,Low
Complaint: soap dish is broken in the bathroom in the hostel block.,Low
Please report: tap is squeaking slightly when turned in the hostel block.,Low
Need a new bathroom tap on my floor.,Low
Reporting an issue: need a spare bucket for the room on my floor.,Low
Kindly note: bathroom mirror has a small crack in the hostel block.,Low
Please report: bathroom tile near the drain is slightly loose near my room.,Low
Kindly note: bathroom tile near the drain is slightly loose on my floor.,Low
Complaint: need a new shower curtain near my room.,Low
Please report: soap dish is broken in the bathroom in the hostel block.,Low
Complaint: exposed wiring near the ceiling fan is a shock hazard.,High
Complaint: wiring in the corridor is exposed and dangerous near my room.,High
Wiring in the corridor is exposed and dangerous in my room.,High
Kindly note: room went completely dark after a loud electrical bang.,High
Reporting an issue: electrical sparks are coming from the room switchboard near my room.,High
Complaint: power is completely out in the hostel block in my room.,High
Kindly note: wiring in the corridor is exposed and dangerous on my floor.,High
Socket near the study table is emitting smoke on my floor.,High
Kindly note: socket near the study table is emitting smoke near my room.,High
Reporting an issue: burning smell is coming from the electrical socket.,High
Please report: short circuit caused smoke near the room heater.,High
Electrical sparks are coming from the room switchboard near my room.,High
Short circuit caused smoke near the room heater.,High
Kindly note: burning smell is coming from the electrical socket on my floor.,High
Please report: socket near the study table is emitting smoke in my room.,High
Reporting an issue: socket near the study table is emitting smoke in my room.,High
Power is completely out in the hostel block in the hostel block.,High
Please report: room went completely dark after a loud electrical bang near my room.,High
Please report: power is completely out in the hostel block near my room.,High
Kindly note: wiring in the corridor is exposed and dangerous.,High
Reporting an issue: short circuit caused smoke near the room heater in my room.,High
Kindly note: wiring in the corridor is exposed and dangerous in the hostel block.,High
Kindly note: socket near the study table is emitting smoke near my room.,High
Complaint: exposed wiring near the ceiling fan is a shock hazard near my room.,High
Complaint: exposed wiring near the ceiling fan is a shock hazard in the hostel block.,High
Kindly note: room went completely dark after a loud electrical bang on my floor.,High
Kindly note: socket near the study table is emitting smoke.,High
Reporting an issue: burning smell is coming from the electrical socket near my room.,High
Reporting an issue: exposed wiring near the ceiling fan is a shock hazard on my floor.,High
Reporting an issue: exposed wiring near the ceiling fan is a shock hazard on my floor.,High
Electrical sparks are coming from the room switchboard on my floor.,High
Reporting an issue: burning smell is coming from the electrical socket on my floor.,High
Kindly note: electrical sparks are coming from the room switchboard on my floor.,High
Please report: power is completely out in the hostel block in my room.,High
Reporting an issue: main distribution board is sparking in the hostel block.,High
Kindly note: power is completely out in the hostel block near my room.,High
Main distribution board is sparking near my room.,High
Please report: power is completely out in the hostel block near my room.,High
Main distribution board is sparking near my room.,High
Reporting an issue: short circuit caused smoke near the room heater.,High
Kindly note: main distribution board is sparking in the hostel block.,High
Main distribution board is sparking in my room.,High
Reporting an issue: burning smell is coming from the electrical socket in the hostel block.,High
Please report: room went completely dark after a loud electrical bang.,High
Complaint: short circuit caused smoke near the room heater.,High
Burning smell is coming from the electrical socket on my floor.,High
Electrical sparks are coming from the room switchboard in my room.,High
Complaint: power is completely out in the hostel block near my room.,High
Complaint: fan motor caught fire briefly during use in the hostel block.,High
Socket near the study table is emitting smoke near my room.,High
Kindly note: socket near the study table is emitting smoke.,High
Complaint: exposed wiring near the ceiling fan is a shock hazard near my room.,High
Main distribution board is sparking on my floor.,High
Main distribution board is sparking near my room.,High
Exposed wiring near the ceiling fan is a shock hazard near my room.,High
Reporting an issue: exposed wiring near the ceiling fan is a shock hazard.,High
Please report: main distribution board is sparking in my room.,High
Exposed wiring near the ceiling fan is a shock hazard in the hostel block.,High
Please report: room went completely dark after a loud electrical bang in my room.,High
Reporting an issue: power is completely out in the hostel block.,High
Please report: power is completely out in the hostel block in the hostel block.,High
Power is completely out in the hostel block.,High
Kindly note: burning smell is coming from the electrical socket in my room.,High
Main distribution board is sparking in my room.,High
Please report: burning smell is coming from the electrical socket near my room.,High
Electrical sparks are coming from the room switchboard near my room.,High
Reporting an issue: main distribution board is sparking in the hostel block.,High
Reporting an issue: wiring in the corridor is exposed and dangerous in my room.,High
Reporting an issue: burning smell is coming from the electrical socket on my floor.,High
Burning smell is coming from the electrical socket near my room.,High
Socket near the study table is emitting smoke near my room.,High
Electrical sparks are coming from the room switchboard on my floor.,High
Power is completely out in the hostel block in my room.,High
Reporting an issue: room went completely dark after a loud electrical bang in the hostel block.,High
Reporting an issue: socket near the study table is emitting smoke in the hostel block.,High
Reporting an issue: extension board in the room stopped working in the hostel block.,Medium
Room switch is damaged in the hostel block.,Medium
Complaint: room light flickers intermittently in my room.,Medium
Complaint: fan regulator is not functioning properly near my room.,Medium
Kindly note: room switch is damaged near my room.,Medium
Kindly note: power socket near the bed is loose in my room.,Medium
Room switch is damaged.,Medium
Room light flickers intermittently on my floor.,Medium
Switchboard cover is cracked in the hostel block.,Medium
Kindly note: switchboard cover is cracked.,Medium
Complaint: fan regulator is not functioning properly.,Medium
Kindly note: aC remote is not responding to the switch on my floor.,Medium
Reporting an issue: aC remote is not responding to the switch in my room.,Medium
Please report: extension board in the room stopped working.,Medium
Kindly note: switchboard cover is cracked.,Medium
Please report: aC remote is not responding to the switch near my room.,Medium
Reporting an issue: aC remote is not responding to the switch in the hostel block.,Medium
Kindly note: aC remote is not responding to the switch.,Medium
Kindly note: power socket near the bed is loose on my floor.,Medium
Please report: study lamp socket has stopped working in my room.,Medium
Room light flickers intermittently in my room.,Medium
Reporting an issue: room switch is damaged in my room.,Medium
Complaint: room light flickers intermittently on my floor.,Medium
Kindly note: fan regulator is not functioning properly on my floor.,Medium
AC remote is not responding to the switch.,Medium
Reporting an issue: ceiling fan is not working.,Medium
Complaint: power socket near the bed is loose near my room.,Medium
Complaint: aC remote is not responding to the switch near my room.,Medium
Reporting an issue: tube light is not working in the room.,Medium
Room light flickers intermittently on my floor.,Medium
Reporting an issue: extension board in the room stopped working on my floor.,Medium
Complaint: tube light is not working in the room in the hostel block.,Medium
Please report: study lamp socket has stopped working on my floor.,Medium
Kindly note: ceiling fan is not working on my floor.,Medium
Room switch is damaged near my room.,Medium
Please report: ceiling fan is not working near my room.,Medium
Reporting an issue: tube light is not working in the room in the hostel block.,Medium
Complaint: room switch is damaged.,Medium
Complaint: study lamp socket has stopped working.,Medium
Complaint: aC remote is not responding to the switch in the hostel block.,Medium
Kindly note: room light flickers intermittently.,Medium
Kindly note: study lamp socket has stopped working in my room.,Medium
Kindly note: extension board in the room stopped working.,Medium
Please report: room switch is damaged near my room.,Medium
Reporting an issue: room light flickers intermittently.,Medium
Kindly note: power socket near the bed is loose in my room.,Medium
Ceiling fan is not working in the hostel block.,Medium
Reporting an issue: switchboard cover is cracked in my room.,Medium
Please report: fan regulator is not functioning properly in my room.,Medium
Kindly note: ceiling fan is not working in my room.,Medium
Please report: aC remote is not responding to the switch.,Medium
Complaint: extension board in the room stopped working in the hostel block.,Medium
Reporting an issue: extension board in the room stopped working in the hostel block.,Medium
Please report: fan regulator is not functioning properly near my room.,Medium
Complaint: extension board in the room stopped working on my floor.,Medium
AC remote is not responding to the switch on my floor.,Medium
Kindly note: room switch is damaged near my room.,Medium
Study lamp socket has stopped working on my floor.,Medium
Room switch is damaged in the hostel block.,Medium
Complaint: switchboard cover is cracked near my room.,Medium
Switchboard cover is cracked near my room.,Medium
Kindly note: tube light is not working in the room in the hostel block.,Medium
Please report: switchboard cover is cracked.,Medium
Kindly note: room switch is damaged.,Medium
Ceiling fan is not working in my room.,Medium
Reporting an issue: extension board in the room stopped working in the hostel block.,Medium
Kindly note: ceiling fan is not working on my floor.,Medium
Complaint: room light flickers intermittently on my floor.,Medium
Kindly note: study lamp socket has stopped working.,Medium
Reporting an issue: room switch is damaged near my room.,Medium
Reporting an issue: power socket near the bed is loose in my room.,Medium
Reporting an issue: room switch is damaged in my room.,Medium
Complaint: power socket near the bed is loose in my room.,Medium
Kindly note: room switch is damaged in the hostel block.,Medium
Please report: fan regulator is not functioning properly in the hostel block.,Medium
Reporting an issue: room light flickers intermittently on my floor.,Medium
Kindly note: fan regulator is not functioning properly in my room.,Medium
Complaint: fan regulator is not functioning properly in my room.,Medium
Please report: ceiling fan is not working.,Medium
Reporting an issue: room switch is damaged in the hostel block.,Medium
Kindly note: study lamp socket has stopped working in the hostel block.,Medium
Complaint: aC remote is not responding to the switch in my room.,Medium
Reporting an issue: ceiling fan is not working in my room.,Medium
Complaint: study lamp socket has stopped working on my floor.,Medium
Reporting an issue: extension board in the room stopped working on my floor.,Medium
Reporting an issue: tube light is not working in the room in my room.,Medium
Please report: extension board in the room stopped working on my floor.,Medium
Complaint: extension board in the room stopped working on my floor.,Medium
Reporting an issue: switchboard cover is cracked near my room.,Medium
Reporting an issue: tube light is not working in the room in my room.,Medium
Complaint: light is slightly dim in the room on my floor.,Low
Reporting an issue: switch cover is loose.,Low
Please report: switch cover is loose on my floor.,Low
Please report: need a new charging socket cover near my room.,Low
Complaint: fan makes a slight rattling noise on my floor.,Low
Bedside lamp switch is a bit stiff near my room.,Low
Please report: need an extra extension cord near my room.,Low
Please report: need an extra extension cord.,Low
Kindly note: switch cover is loose in my room.,Low
Kindly note: light is slightly dim in the room near my room.,Low
Complaint: plug point cover is slightly cracked in the hostel block.,Low
Switch cover is loose on my floor.,Low
Reporting an issue: need a replacement LED bulb in the hostel block.,Low
Bedside lamp switch is a bit stiff on my floor.,Low
Room light takes a few seconds to turn on.,Low
Reporting an issue: bedside lamp switch is a bit stiff near my room.,Low
Complaint: switch cover is loose in the hostel block.,Low
Reporting an issue: light is slightly dim in the room in the hostel block.,Low
Kindly note: need a replacement LED bulb near my room.,Low
Kindly note: fan speed indicator light is not glowing in my room.,Low
Please report: bedside lamp switch is a bit stiff.,Low
Need an extra extension cord in the hostel block.,Low
Reporting an issue: need a new charging socket cover in the hostel block.,Low
Complaint: bedside lamp switch is a bit stiff.,Low
Kindly note: need an extra extension cord.,Low
Kindly note: switch cover is loose in my room.,Low
Kindly note: fan speed indicator light is not glowing in my room.,Low
Reporting an issue: need an extra extension cord on my floor.,Low
Complaint: plug point cover is slightly cracked in my room.,Low
Complaint: switch cover is loose.,Low
Fan makes a slight rattling noise in my room.,Low
Kindly note: need an extra extension cord in the hostel block.,Low
Complaint: need a new charging socket cover on my floor.,Low
Kindly note: fan makes a slight rattling noise on my floor.,Low
Kindly note: need an extra extension cord.,Low
Complaint: bedside lamp switch is a bit stiff near my room.,Low
Please report: need an extra extension cord near my room.,Low
Reporting an issue: need an extra extension cord on my floor.,Low
Bedside lamp switch is a bit stiff near my room.,Low
Reporting an issue: need a replacement LED bulb on my floor.,Low
Switch cover is loose on my floor.,Low
Complaint: room light takes a few seconds to turn on in the hostel block.,Low
Complaint: need a replacement LED bulb on my floor.,Low
Kindly note: light is slightly dim in the room in the hostel block.,Low
Room light takes a few seconds to turn on.,Low
Reporting an issue: need an extra extension cord in my room.,Low
Reporting an issue: need a replacement LED bulb near my room.,Low
Need a replacement LED bulb in my room.,Low
Complaint: need an extra extension cord in the hostel block.,Low
Please report: fan speed indicator light is not glowing near my room.,Low
Complaint: need an extra extension cord.,Low
Reporting an issue: need a replacement LED bulb on my floor.,Low
Kindly note: need an extra extension cord in my room.,Low
Please report: light is slightly dim in the room near my room.,Low
Reporting an issue: bedside lamp switch is a bit stiff.,Low
Complaint: room light takes a few seconds to turn on in my room.,Low
Complaint: room light takes a few seconds to turn on in my room.,Low
Need a replacement LED bulb near my room.,Low
Plug point cover is slightly cracked on my floor.,Low
Reporting an issue: switch cover is loose in the hostel block.,Low
Please report: room light takes a few seconds to turn on in my room.,Low
Please report: need a new charging socket cover.,Low
Please report: need a replacement LED bulb near my room.,Low
Reporting an issue: need an extra extension cord in the hostel block.,Low
Reporting an issue: plug point cover is slightly cracked in my room.,Low
Switch cover is loose on my floor.,Low
Reporting an issue: plug point cover is slightly cracked near my room.,Low
Fan speed indicator light is not glowing in my room.,Low
Complaint: switch cover is loose near my room.,Low
Please report: need an extra extension cord in the hostel block.,Low
Please report: need a replacement LED bulb near my room.,Low
Light is slightly dim in the room in the hostel block.,Low
Please report: room light takes a few seconds to turn on in my room.,Low
Kindly note: fan makes a slight rattling noise in the hostel block.,Low
Kindly note: switch cover is loose in my room.,Low
Please report: balcony grill is loose and could fall on my floor.,High
Room door has come off its hinges in the hostel block.,High
Reporting an issue: wooden flooring is rotting and unsafe to walk on in my room.,High
Reporting an issue: wooden flooring is rotting and unsafe to walk on on my floor.,High
Broken window glass is creating a safety risk.,High
Kindly note: wooden flooring is rotting and unsafe to walk on in my room.,High
Reporting an issue: ceiling plaster is falling off near the bed.,High
Kindly note: room door has come off its hinges on my floor.,High
Complaint: room door lock is completely broken and won't secure on my floor.,High
Staircase railing is broken and unsafe in my room.,High
Complaint: ceiling plaster is falling off near the bed near my room.,High
Reporting an issue: large crack has appeared in the room wall in my room.,High
Kindly note: large crack has appeared in the room wall near my room.,High
Reporting an issue: large crack has appeared in the room wall in the hostel block.,High
Please report: large crack has appeared in the room wall near my room.,High
Complaint: balcony grill is loose and could fall in my room.,High
Staircase railing is broken and unsafe on my floor.,High
Complaint: wooden flooring is rotting and unsafe to walk on in my room.,High
Reporting an issue: large crack has appeared in the room wall on my floor.,High
Complaint: ceiling is leaking heavily during rain in the hostel block.,High
Kindly note: window frame has come loose from the wall near my room.,High
Complaint: staircase railing is broken and unsafe in the hostel block.,High
Please report: room door lock is completely broken and won't secure in the hostel block.,High
Broken window glass is creating a safety risk on my floor.,High
Complaint: wooden flooring is rotting and unsafe to walk on on my floor.,High
Broken window glass is creating a safety risk near my room.,High
Kindly note: balcony grill is loose and could fall near my room.,High
Complaint: broken window glass is creating a safety risk.,High
Please report: room door has come off its hinges on my floor.,High
Balcony grill is loose and could fall near my room.,High
Reporting an issue: window frame has come loose from the wall on my floor.,High
Wooden flooring is rotting and unsafe to walk on in my room.,High
Kindly note: ceiling plaster is falling off near the bed on my floor.,High
Please report: large crack has appeared in the room wall in my room.,High
Complaint: room door has come off its hinges in the hostel block.,High
Broken window glass is creating a safety risk in my room.,High
Reporting an issue: window frame has come loose from the wall near my room.,High
Reporting an issue: wooden flooring is rotting and unsafe to walk on in my room.,High
Kindly note: wooden flooring is rotting and unsafe to walk on in my room.,High
Kindly note: wooden flooring is rotting and unsafe to walk on in the hostel block.,High
Reporting an issue: room door has come off its hinges in the hostel block.,High
Kindly note: wooden flooring is rotting and unsafe to walk on near my room.,High
Kindly note: large crack has appeared in the room wall.,High
Kindly note: wooden flooring is rotting and unsafe to walk on.,High
Kindly note: window frame has come loose from the wall in the hostel block.,High
Room door lock is completely broken and won't secure in the hostel block.,High
Reporting an issue: ceiling is leaking heavily during rain in the hostel block.,High
Please report: ceiling is leaking heavily during rain.,High
Please report: staircase railing is broken and unsafe.,High
Complaint: large crack has appeared in the room wall in my room.,High
Complaint: room door lock is completely broken and won't secure in the hostel block.,High
Window frame has come loose from the wall in my room.,High
Reporting an issue: room door lock is completely broken and won't secure on my floor.,High
Complaint: room door has come off its hinges on my floor.,High
Reporting an issue: window frame has come loose from the wall on my floor.,High
Kindly note: large crack has appeared in the room wall in the hostel block.,High
Please report: room door lock is completely broken and won't secure on my floor.,High
Please report: balcony grill is loose and could fall on my floor.,High
Complaint: room door lock is completely broken and won't secure on my floor.,High
Reporting an issue: large crack has appeared in the room wall on my floor.,High
Reporting an issue: staircase railing is broken and unsafe in the hostel block.,High
Kindly note: ceiling plaster is falling off near the bed in my room.,High
Kindly note: broken window glass is creating a safety risk.,High
Kindly note: window frame has come loose from the wall near my room.,High
Reporting an issue: room door lock is completely broken and won't secure on my floor.,High
Please report: balcony grill is loose and could fall.,High
Please report: wooden flooring is rotting and unsafe to walk on in my room.,High
Please report: room door has come off its hinges in my room.,High
Complaint: staircase railing is broken and unsafe on my floor.,High
Please report: staircase railing is broken and unsafe.,High
Complaint: ceiling is leaking heavily during rain near my room.,High
Kindly note: room door lock is completely broken and won't secure on my floor.,High
Broken window glass is creating a safety risk in the hostel block.,High
Room door has come off its hinges in my room.,High
Ceiling is leaking heavily during rain near my room.,High
Kindly note: window latch is broken.,Medium
Reporting an issue: curtain rod has fallen down in the hostel block.,Medium
Kindly note: ceiling fan hook is loose near my room.,Medium
Complaint: room paint is peeling near the window in my room.,Medium
Kindly note: window does not close fully in the rain in my room.,Medium
Please report: ceiling fan hook is loose near my room.,Medium
Window latch is broken on my floor.,Medium
Please report: cupboard hinge is squeaking loudly in my room.,Medium
Complaint: door handle is wobbly in the hostel block.,Medium
Complaint: wardrobe door is damaged.,Medium
Complaint: window latch is broken on my floor.,Medium
Kindly note: room door is difficult to close near my room.,Medium
Kindly note: window does not close fully in the rain on my floor.,Medium
Reporting an issue: cupboard hinge is squeaking loudly.,Medium
Please report: ceiling fan hook is loose.,Medium
Kindly note: window does not close fully in the rain in my room.,Medium
Kindly note: room paint is peeling near the window.,Medium
Reporting an issue: ceiling fan hook is loose in my room.,Medium
Complaint: window latch is broken in my room.,Medium
Kindly note: cupboard hinge is squeaking loudly near my room.,Medium
Reporting an issue: window does not close fully in the rain in my room.,Medium
Cupboard hinge is squeaking loudly in the hostel block.,Medium
Kindly note: room paint is peeling near the window.,Medium
Wardrobe door is damaged in the hostel block.,Medium
Reporting an issue: room key is stuck in the lock in the hostel block.,Medium
Kindly note: window latch is broken in the hostel block.,Medium
Please report: wardrobe door is damaged in the hostel block.,Medium
Reporting an issue: wardrobe door is damaged near my room.,Medium
Please report: window does not close fully in the rain in the hostel block.,Medium
Reporting an issue: window does not close fully in the rain.,Medium
Kindly note: window does not close fully in the rain.,Medium
Curtain rod has fallen down in my room.,Medium
Wardrobe door is damaged near my room.,Medium
Reporting an issue: wardrobe door is damaged.,Medium
Window does not close fully in the rain on my floor.,Medium
Please report: window latch is broken near my room.,Medium
Complaint: door handle is wobbly near my room.,Medium
Reporting an issue: wardrobe door is damaged in my room.,Medium
Please report: wardrobe door is damaged in the hostel block.,Medium
Please report: room paint is peeling near the window in my room.,Medium
Kindly note: room door is difficult to close near my room.,Medium
Reporting an issue: door handle is wobbly near my room.,Medium
Complaint: room key is stuck in the lock on my floor.,Medium
Please report: curtain rod has fallen down.,Medium
Reporting an issue: door handle is wobbly.,Medium
Room key is stuck in the lock.,Medium
Complaint: room door is difficult to close in the hostel block.,Medium
Room key is stuck in the lock near my room.,Medium
Reporting an issue: room key is stuck in the lock in my room.,Medium
Reporting an issue: window latch is broken on my floor.,Medium
Kindly note: cupboard hinge is squeaking loudly in the hostel block.,Medium
Please report: ceiling fan hook is loose on my floor.,Medium
Please report: room paint is peeling near the window near my room.,Medium
Curtain rod has fallen down in the hostel block.,Medium
Complaint: window latch is broken in the hostel block.,Medium
Kindly note: room door is difficult to close near my room.,Medium
Complaint: ceiling fan hook is loose near my room.,Medium
Complaint: curtain rod has fallen down in my room.,Medium
Please report: window does not close fully in the rain in my room.,Medium
Complaint: window latch is broken.,Medium
Complaint: door handle is wobbly in the hostel block.,Medium
Complaint: window latch is broken in my room.,Medium
Kindly note: room key is stuck in the lock.,Medium
Ceiling fan hook is loose in the hostel block.,Medium
Kindly note: room door is difficult to close near my room.,Medium
Cupboard hinge is squeaking loudly.,Medium
Reporting an issue: cupboard hinge is squeaking loudly in my room.,Medium
Kindly note: room key is stuck in the lock on my floor.,Medium
Please report: room key is stuck in the lock.,Medium
Reporting an issue: room key is stuck in the lock in my room.,Medium
Reporting an issue: room key is stuck in the lock on my floor.,Medium
Complaint: door handle is wobbly in the hostel block.,Medium
Kindly note: curtain rod has fallen down on my floor.,Medium
Complaint: window does not close fully in the rain.,Medium
Please report: ceiling fan hook is loose on my floor.,Medium
Door handle is wobbly in the hostel block.,Medium
Window latch is broken on my floor.,Medium
Reporting an issue: cupboard hinge is squeaking loudly near my room.,Medium
Please report: window curtain is damaged on my floor.,Low
Reporting an issue: need a new curtain hook in my room.,Low
Kindly note: wall paint has a small chip near the door on my floor.,Low
Complaint: door hinge needs slight oiling in my room.,Low
Please report: window curtain is damaged in the hostel block.,Low
Reporting an issue: window curtain is damaged.,Low
Wardrobe handle is loose.,Low
Please report: need a new curtain hook in my room.,Low
Window curtain is damaged in my room.,Low
Kindly note: door hinge needs slight oiling.,Low
Complaint: need a spare window latch near my room.,Low
Reporting an issue: wardrobe handle is loose in the hostel block.,Low
Wardrobe handle is loose in the hostel block.,Low
Kindly note: wall paint has a small chip near the door.,Low
Please report: need a new curtain hook.,Low
Please report: wall paint has a small chip near the door in my room.,Low
Reporting an issue: need a spare window latch on my floor.,Low
Complaint: small crack has appeared on the windowsill.,Low
Complaint: need a new curtain hook in the hostel block.,Low
Kindly note: need a new door mat.,Low
Complaint: need a replacement door stopper near my room.,Low
Complaint: wall paint has a small chip near the door.,Low
Window curtain is damaged near my room.,Low
Reporting an issue: room number plate has fallen off.,Low
Please report: wardrobe handle is loose in my room.,Low
Kindly note: door hinge needs slight oiling.,Low
Reporting an issue: small crack has appeared on the windowsill in the hostel block.,Low
Kindly note: window curtain is damaged.,Low
Please report: need a spare window latch near my room.,Low
Please report: small crack has appeared on the windowsill in the hostel block.,Low
Complaint: need a spare window latch in the hostel block.,Low
Please report: need a new curtain hook.,Low
Room number plate has fallen off.,Low
Need a new door mat on my floor.,Low
Reporting an issue: need a spare window latch near my room.,Low
Kindly note: wardrobe handle is loose near my room.,Low
Kindly note: need a new door mat in the hostel block.,Low
Please report: need a new curtain hook in the hostel block.,Low
Reporting an issue: need a replacement door stopper on my floor.,Low
Need a replacement door stopper on my floor.,Low
Please report: need a new curtain hook near my room.,Low
Room number plate has fallen off.,Low
Complaint: small crack has appeared on the windowsill on my floor.,Low
Please report: need a replacement door stopper.,Low
Complaint: need a new curtain hook in the hostel block.,Low
Complaint: wall paint has a small chip near the door.,Low
Kindly note: need a replacement door stopper in the hostel block.,Low
Reporting an issue: need a spare window latch on my floor.,Low
Kindly note: wardrobe handle is loose near my room.,Low
Reporting an issue: need a replacement door stopper in my room.,Low
Please report: wall paint has a small chip near the door near my room.,Low
Kindly note: window curtain is damaged on my floor.,Low
Please report: door hinge needs slight oiling.,Low
Kindly note: need a new curtain hook near my room.,Low
Door hinge needs slight oiling on my floor.,Low
Complaint: need a new door mat in the hostel block.,Low
Complaint: need a new door mat.,Low
Small crack has appeared on the windowsill near my room.,Low
Complaint: need a spare window latch on my floor.,Low
Complaint: room number plate has fallen off in the hostel block.,Low
Kindly note: drainage water is stagnant and smelling badly near the room in the hostel block.,High
Kindly note: common washroom is severely unhygienic and unusable in my room.,High
Kindly note: mold is spreading rapidly on the bathroom ceiling near my room.,High
Kindly note: overflowing garbage bin is attracting insects and pests near my room.,High
Kindly note: rotten food waste has been left uncollected for days.,High
Reporting an issue: overflowing garbage bin is attracting insects and pests in the hostel block.,High
Complaint: sewage smell is spreading through the hostel floor in my room.,High
Drainage water is stagnant and smelling badly near the room near my room.,High
Kindly note: large amount of garbage is blocking the hostel entrance in my room.,High
Complaint: large amount of garbage is blocking the hostel entrance near my room.,High
Reporting an issue: common washroom is severely unhygienic and unusable near my room.,High
Reporting an issue: rotten food waste has been left uncollected for days in the hostel block.,High
Kindly note: sewage smell is spreading through the hostel floor in the hostel block.,High
Wastewater is accumulated in the corridor in my room.,High
Reporting an issue: large amount of garbage is blocking the hostel entrance.,High
Kindly note: rotten food waste has been left uncollected for days near my room.,High
Sewage smell is spreading through the hostel floor on my floor.,High
Complaint: overflowing garbage bin is attracting insects and pests on my floor.,High
Reporting an issue: common washroom is severely unhygienic and unusable in the hostel block.,High
Mold is spreading rapidly on the bathroom ceiling near my room.,High
Complaint: drainage water is stagnant and smelling badly near the room.,High
Kindly note: large amount of garbage is blocking the hostel entrance on my floor.,High
Please report: common washroom is severely unhygienic and unusable in the hostel block.,High
Complaint: mold is spreading rapidly on the bathroom ceiling.,High
Kindly note: common washroom is severely unhygienic and unusable.,High
Sewage smell is spreading through the hostel floor.,High
Please report: wastewater is accumulated in the corridor in my room.,High
Reporting an issue: large amount of garbage is blocking the hostel entrance in my room.,High
Complaint: rotten food waste has been left uncollected for days in my room.,High
Please report: large amount of garbage is blocking the hostel entrance near my room.,High
Reporting an issue: sewage smell is spreading through the hostel floor in my room.,High
Complaint: rotten food waste has been left uncollected for days.,High
Kindly note: overflowing garbage bin is attracting insects and pests.,High
Reporting an issue: wastewater is accumulated in the corridor in my room.,High
Please report: mold is spreading rapidly on the bathroom ceiling near my room.,High
Complaint: drainage water is stagnant and smelling badly near the room in the hostel block.,High
Reporting an issue: rotten food waste has been left uncollected for days near my room.,High
Kindly note: wastewater is accumulated in the corridor on my floor.,High
Kindly note: large amount of garbage is blocking the hostel entrance in the hostel block.,High
